,chapter,senten_num,sentiment,person
234,4,90,0.9662574905245974,肖鹤云
235,4,90,0.9662574905245974,李诗情
236,4,91,0.971367927069708,肖鹤云
237,4,92,0.9811718305659768,肖鹤云
238,4,96,0.9979701500036046,肖鹤云
239,4,96,0.9979701500036046,李诗情
240,4,100,0.055622354927785,李诗情
241,4,102,0.8297802483931563,张警官
242,4,103,0.5110509487705804,李诗情
243,4,103,0.5110509487705804,张警官
244,4,104,0.9860295738062128,李诗情
245,4,108,0.7277041130877546,李诗情
246,4,108,0.7277041130877546,张警官
247,4,113,0.19729345894726247,李诗情
248,4,113,0.19729345894726247,张警官
249,4,114,0.8725476887801976,李诗情
250,4,115,0.9987733749233547,肖鹤云
251,4,115,0.9987733749233547,李诗情
252,4,116,0.6558792508270727,肖鹤云
253,4,116,0.6558792508270727,李诗情
254,4,118,0.8765060188942297,肖鹤云
255,4,119,0.035962599921839256,李诗情
256,4,119,0.035962599921839256,张警官
257,4,121,0.2544091987546566,李诗情
258,4,123,0.622290768857928,肖鹤云
259,4,124,0.9668391169978378,肖鹤云
260,4,124,0.9668391169978378,李诗情
261,4,125,0.8097973735436833,李诗情
262,5,2,0.9951650595708309,肖鹤云
263,5,2,0.9951650595708309,李诗情
264,5,8,0.5576998308695087,肖鹤云
265,5,8,0.5576998308695087,李诗情
266,5,9,0.9653103147412593,肖鹤云
267,5,9,0.9653103147412593,李诗情
268,5,10,0.9444906801407299,肖鹤云
269,5,10,0.9444906801407299,张警官
270,5,11,0.6451437225275437,李诗情
271,5,15,0.9730756013205814,肖鹤云
272,5,21,0.8173579089204123,肖鹤云
273,5,21,0.8173579089204123,张警官
274,5,22,0.9994401073965139,肖鹤云
275,5,24,0.9969708682350847,肖鹤云
276,5,25,0.9943359995940103,肖鹤云
277,5,28,0.20708026912306743,肖鹤云
278,5,28,0.20708026912306743,张警官
279,5,29,0.5016417195661462,肖鹤云
280,5,30,0.9875164194306908,肖鹤云
281,5,31,0.9056915415493481,肖鹤云
282,5,33,0.015241845142811572,李诗情
283,5,35,0.3997598784623556,肖鹤云
284,5,38,0.9775336251458914,肖鹤云
285,5,38,0.9775336251458914,李诗情
286,5,39,0.9243577741979614,肖鹤云
287,5,43,0.7411754221738599,肖鹤云
288,5,43,0.7411754221738599,李诗情
289,5,47,0.6947916073811172,李诗情
290,5,49,0.8965395183804086,肖鹤云
291,5,51,0.9792020011814805,肖鹤云
292,5,57,0.8995623138464085,肖鹤云
